193,485,816,50,452,633,677,614,314,756 
604,574,455,135,749,430,380,357,567,274 
174,855,794,307,23,342,299,971,904,102 
522,843,94,919,190,990,177,701,790,390 
580,722,157,153,2,429,74,973,462,921 
931,211,521,192,929,663,447,681,432,111 
997,632,540,350,604,779,914,66,344,794 
569,639,380,975,899,355,563,651,918,112 
391,586,817,497,509,643,72,337,359,435 
879,420,611,928,380,700,100,25,404,587 
653,876,955,239,216,900,651,681,990,478 
643,598,14,646,487,335,175,106,942,441 
669,671,700,661,706,376,972,326,417,74 
983,735,906,908,463,490,413,997,632,721 
290,369,883,735,724,169,139,803,266,967 
868,518,834,788,481,812,518,979,896,335 
750,574,199,484,13,7,725,853,693,314 
42,443,394,79,476,487,307,752,488,783 
877,931,119,727,247,845,391,811,628,683 
547,74,596,55,295,426,522,425,113,742 
675,394,247,731,514,272,514,861,394,704 
299,484,947,460,768,342,773,10,975,756 
474,250,302,296,196,553,537,516,920,273 
122,848,89,805,434,837,500,967,205,896 
212,534,792,551,927,266,576,545,589,677 
477,756,527,16,203,843,149,43,991,174 
18,373,515,992,987,333,148,106,492,741 
56,815,350,177,323,877,847,729,981,812 
949,701,367,252,127,320,177,552,230,369 
491,667,132,343,652,475,32,511,992,968 
204,547,412,509,824,617,106,108,978,969 
158,357,993,619,818,575,80,582,551,128 
316,39,737,199,130,312,428,841,123,275 
67,782,757,991,64,471,82,659,987,823 
394,819,947,371,165,659,875,649,698,652 
6,775,103,342,320,119,9,412,889,168 
544,83,790,849,336,526,79,552,167,901 
854,153,308,113,858,538,880,610,214,798 
362,639,533,495,509,884,284,323,385,5 
766,823,662,643,138,59,928,819,552,968 
726,978,211,44,952,700,394,888,375,313 
329,162,473,992,614,383,777,666,963,644 
96,519,619,691,12,457,687,649,661,881 
135,477,266,297,254,97,160,656,426,102 
710,731,74,185,422,40,947,12,633,334 
257,979,249,705,374,80,273,338,118,395 
261,881,403,285,868,283,251,90,632,118 
747,908,321,578,767,901,788,674,425,505 
631,99,596,332,39,502,753,211,592,56 
892,357,341,72,972,118,74,263,386,573 
436,391,197,590,641,699,121,207,618,358 
244,742,102,599,114,733,974,306,551,228 
998,850,257,3,594,958,247,892,996,416 
152,1,841,225,359,89,152,377,126,307 
773,651,598,991,136,57,905,344,439,338 
88,410,183,888,12,461,25,880,811,649 
807,336,94,563,754,626,836,787,754,412 
364,415,837,880,85,812,542,251,217,269 
198,479,409,619,667,450,979,480,841,448 
547,408,933,861,877,67,919,409,975,354 
31,339,692,865,170,897,19,197,19,109 
371,323,482,610,892,681,389,426,335,965 
970,413,652,430,537,996,831,197,741,158 
958,572,946,729,418,989,375,69,429,158 
810,452,773,995,736,252,168,489,938,519 
751,88,652,143,768,884,454,956,935,527 
1,438,876,860,801,339,89,187,859,916 
622,229,736,538,877,469,93,723,348,428 
601,69,675,293,933,729,656,973,897,447 
739,897,762,549,353,821,920,610,201,432 
752,316,899,803,375,675,582,241,99,799 
815,423,794,695,293,17,862,851,518,929 
823,969,969,314,363,82,163,516,796,87 
38,120,240,594,534,165,105,496,502,363 
700,369,476,231,508,112,132,786,322,725 
769,512,867,584,4,200,712,327,149,413 
762,748,408,198,621,359,582,656,65,50 
482,986,340,686,924,435,772,264,56,592 
390,270,96,171,539,599,376,100,164,935 
982,984,682,403,712,236,428,191,522,740 
769,803,613,830,827,677,926,180,427,798 
675,815,467,801,529,826,197,28,783,741 
552,86,443,827,385,35,911,273,849,309 
664,165,541,615,207,49,949,217,462,480 
949,693,945,477,685,220,688,597,442,563 
384,647,430,399,586,903,254,938,134,682 
903,204,679,599,69,88,178,429,98,59 
145,216,570,707,22,329,634,642,577,660 
78,808,95,127,744,102,178,927,264,824 
525,695,151,365,897,70,705,440,267,863 
942,575,264,916,382,647,804,912,564,904 
59,277,467,790,426,878,221,744,993,330 
278,839,567,883,969,460,772,781,513,248 
427,126,403,308,492,763,938,314,463,672 
628,676,831,880,444,336,188,281,906,701 
658,897,993,666,8,21,427,765,31,258 
795,741,478,281,494,442,561,450,294,101 
365,297,36,407,120,445,518,897,705,259 
438,256,860,96,839,604,173,943,868,335 
849,35,683,390,927,769,28,952,606,350
